ADA HS,ADA,PONTOTOC COUNTY,748,502,2016-09-14 18:06:14,
 LATTA HS,ADA,PONTOTOC COUNTY,748,149,2016-09-14 18:06:14,
 VANOSS HS,ADA,PONTOTOC COUNTY,748,171,2016-09-14 18:06:14,
 BYNG HS,ADA,PONTOTOC COUNTY,748,302,2016-09-14 18:06:14,
 ADAIR HS,ADAIR,MAYES COUNTY,743,285,2016-09-14 18:06:14,
 AFTON HS,AFTON,OTTAWA COUNTY,743,121,2016-09-14 18:06:14,
 AGRA HS,AGRA,LINCOLN COUNTY,748,98,2016-09-14 18:06:14,
 ALEX HS,ALEX,GRADY COUNTY,730,106,2016-09-14 18:06:14,
 ALINE-CLEO HS,ALINE,ALFALFA COUNTY,737,38,2016-09-14 18:06:14,
 ALLEN HS,ALLEN,PONTOTOC COUNTY,748,128,2016-09-14 18:06:14,
 ALTUS HS,ALTUS,JACKSON COUNTY,735,1038,2016-09-14 18:06:14,
 NAVAJO HS,ALTUS,JACKSON COUNTY,735,96,2016-09-14 18:06:14,
 ALVA HS,ALVA,WOODS COUNTY,737,240,2016-09-14 18:06:14,
 AMBER-POCASSET HS,AMBER,GRADY COUNTY,730,93,2016-09-14 18:06:14,
 ANADARKO HS,ANADARKO,CADDO COUNTY,730,531,2016-09-14 18:06:14,
 ANTLERS HS,ANTLERS,PUSHMATAHA COUNTY,745,290,2016-09-14 18:06:14,
 APACHE HS,APACHE,CADDO COUNTY,730,162,2016-09-14 18:06:14,
 ARAPAHO-BUTLER HS,ARAPAHO,CUSTER COUNTY,736,91,2016-09-14 18:06:14,
 DICKSON HS,ARDMORE,CARTER COUNTY,734,406,2016-09-14 18:06:14,
 PLAINVIEW HS,ARDMORE,CARTER COUNTY,734,364,2016-09-14 18:06:14,
 ARDMORE HS,ARDMORE,CARTER COUNTY,734,780,2016-09-14 18:06:14,
 ARKOMA HS,ARKOMA,LE FLORE COUNTY,749,84,2016-09-14 18:06:14,
 ARNETT HS,ARNETT,ELLIS COUNTY,738,64,2016-09-14 18:06:14,
 ASHER HS,ASHER,POTTAWATOMIE COUNTY,748,69,2016-09-14 18:06:14,
 TUSHKA HS,ATOKA,ATOKA COUNTY,745,186,2016-09-14 18:06:14,
 ATOKA HS,ATOKA,ATOKA COUNTY,745,336,2016-09-14 18:06:14,
