School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
7TH & 8TH GRADE CTR,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,47.2,337,344,,,,,2,,681,,14.47
8TH & 9TH GRADE CTR,ELK CITY,ELK CITY,BECKHAM COUNTY,31.4,144,157,145,,,,4,,301,145,14.33
ACADEMY CENTRAL ES,TULSA,TULSA,OSAGE COUNTY,21.5,,,,,,,38,64,182,,13.21
ACADEMY ES,GUYMON,GUYMON,TEXAS COUNTY,27.5,,,,,,,,,418,,15.2
ACHILLE ES,ACHILLE,ACHILLE,BRYAN COUNTY,15.2,29,26,,,,,,50,205,,16.78
ACHILLE HS,ACHILLE,ACHILLE,BRYAN COUNTY,7.6,,,30,31,31,34,,,,126,16.58
ADA HS,ADA,ADA,PONTOTOC COUNTY,40.5,,,,168,186,148,,,,502,12.4
ADA JHS,ADA,ADA,PONTOTOC COUNTY,46.9,173,183,183,,,,,,356,183,11.49
ADAIR HS,ADAIR,ADAIR,MAYES COUNTY,19.6,,,82,62,65,76,,,,285,14.54
ADAIR MS,ADAIR,ADAIR,MAYES COUNTY,14.5,81,77,,,,,,,251,,17.31
ADAMS ES,ENID,ENID,GARFIELD COUNTY,23.1,,,,,,,,105,220,,14.07
ADAMS ES,LAWTON,LAWTON,COMANCHE COUNTY,10.4,,,,,,,,39,131,,16.35
ADAMS ES,NORMAN,NORMAN,CLEVELAND COUNTY,34.2,,,,,,,,135,356,,14.36
ADAMS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,32.8,,,,,,,,130,475,,18.45
ADDAMS ES,TULSA,TULSA,TULSA COUNTY,15,,,,,,,,53,147,,13.33
AFTON ES,AFTON,AFTON,OTTAWA COUNTY,21.7,31,38,,,,,,60,278,,15.58
AFTON HS,AFTON,AFTON,OTTAWA COUNTY,10.6,,,32,30,31,28,,,,121,11.42
AGRA ES,AGRA,AGRA,LINCOLN COUNTY,20,36,26,,,,,,63,255,,15.9
AGRA HS,AGRA,AGRA,LINCOLN COUNTY,9,,,25,27,27,19,,,,98,10.89
ALBION PUBLIC SCHOOL,ALBION,ALBION,PUSHMATAHA COUNTY,6.3,8,9,,,,,,40,69,,17.3
ALCOTT ES,TULSA,TULSA,TULSA COUNTY,18,,,,,,,,60,205,,14.72
ALCOTT MS,NORMAN,NORMAN,CLEVELAND COUNTY,41.2,182,208,,,,,,,618,,15
ALEX ES,ALEX,ALEX,GRADY COUNTY,9.2,,,,,,,2,36,123,,17.5
ALEX HS,ALEX,ALEX,GRADY COUNTY,7.6,,,38,25,20,23,,,,106,13.95
ALEX MS,ALEX,ALEX,GRADY COUNTY,3.3,26,20,,,,,,,71,,21.52
ALEXANDER ES,COMMERCE,COMMERCE,OTTAWA COUNTY,29.5,,,,,,,,124,317,,14.95
ALINE-CLEO ES,CLEO SPRINGS,CLEO SPRINGS,MAJOR COUNTY,9.5,16,11,,,,,,24,95,,12.53
ALINE-CLEO HS,ALINE,ALINE,ALFALFA COUNTY,5,,,7,14,5,12,,,,38,7.6
ALLEN ES,ALLEN,ALLEN,PONTOTOC COUNTY,21.6,28,32,,,,,,63,258,,14.86
ALLEN HS,ALLEN,ALLEN,PONTOTOC COUNTY,10,,,28,34,40,26,,,,128,12.8
ALLEN-BOWDEN PUBLIC SCHOOL,TULSA,TULSA,CREEK COUNTY,21.4,42,31,,,,,,82,281,,16.96
ALMOR WEST ES,LAWTON,LAWTON,COMANCHE COUNTY,19.8,,,,,,,,80,284,,18.38
ALTUS HS,ALTUS,ALTUS,JACKSON COUNTY,66.3,,,269,266,239,264,,,,1038,15.66
ALTUS INTERMEDIATE SCHOOL,ALTUS,ALTUS,JACKSON COUNTY,35.1,,,,,,,,,513,,14.62
