50     Scandinavian Clothing A/S       NO
109    Petterson AB                    SE
316    Prime Sports Ltd                GB
755    Top Sports                      DK
772    AllSeasons Outdoor Clothing     US
798    Sportico                        ES
1280   British Sports Ltd              GB
1303   Eclipse Inc                     US
1684   Magnifico Sports                PT
1747   Pro Sportswear Inc              US
2963   3Top Sports                     US
2995   Van Dammeren International      NL
3298   A Team Sports                   US
3664   Triple Sportswear Inc           US
3808   Carolina Sports                 US
3815   Roll-Over Inc                   US
4168   Rubby Zapatos S.A.              ES
4514   Royal Darts Ltd                 GB
4646   Mayday Inc                      US
4718   KN Outdoor Trading Inc          US
4742   Luna sastreria S.A.             ES
4793   Norsok A/S                      DK
5503   Ultra Sporting Goods Inc        US
5810   Teamsports Inc                  US
5922   Force Sports                    BE
6071   SportsFan Products Ltd          GB
6153   Nautlius SportsWear Inc         US
6355   Svensson Trading AB             SE
7511   Mike Schaeffer Inc              US
10225  HighPoint Trading               US
10692  Toto Outdoor Gear               AU
11427  Typhoon Clothing                AU
12283  EA Sports Limited               GB
12869  Truls Sporting Goods            NO
13079  Le Blanc S.A.                   FR
13198  Twain Inc                       US
13199  Massif S.A.                     FR
13314  Triffy B.V.                     NL
13710  SD Sporting Goods Inc           US
14593  Fga Sports Inc                  US
14624  Ypsilon S.A.                    FR
14648  Top Sports Inc                  US
14682  Greenline Sports Ltd            GB
15218  Miller Trading Inc              US
15938  TeeTime Ltd                     GB
16292  Dolphin Sportswear Inc          US
16422  Outback Outfitters Ltd          GB
16542  TrimSport B.V.                  NL
16733  Fuller Trading Co.              CA
16814  CrystalClear Optics Inc         CA
17832  GrandSlam Sporting Goods Ltd    GB
18139  Green Lime Sports Inc           US
