Week,Sales,Price,Promotion,SalesLag1
1.00,611.00,0.67,0.00,
2.00,673.00,0.66,0.00,611.00
3.00,710.00,0.67,0.00,673.00
4.00,478.00,0.66,0.00,710.00
5.00,425.00,0.66,0.00,478.00
6.00,601.00,0.65,0.00,425.00
7.00,607.00,0.67,0.00,601.00
8.00,637.00,0.67,0.00,607.00
9.00,507.00,0.68,0.00,637.00
10.00,467.00,0.68,0.00,507.00
11.00,411.00,0.78,0.00,467.00
12.00,538.00,0.77,0.00,411.00
13.00,2670.00,0.57,1.00,538.00
14.00,2966.00,0.57,1.00,2670.00
15.00,857.00,0.67,0.00,2966.00
16.00,440.00,0.78,0.00,857.00
17.00,455.00,0.78,0.00,440.00
18.00,472.00,0.78,0.00,455.00
19.00,430.00,0.78,0.00,472.00
20.00,413.00,0.78,0.00,430.00
21.00,413.00,0.77,0.00,413.00
22.00,424.00,0.79,0.00,413.00
23.00,1063.00,0.67,0.00,424.00
24.00,469.00,0.77,0.00,1063.00
25.00,367.00,0.82,0.00,469.00
26.00,247.00,0.81,0.00,367.00
27.00,448.00,0.81,0.00,247.00
28.00,401.00,0.83,0.00,448.00
29.00,359.00,0.83,0.00,401.00
30.00,156.00,0.83,0.00,359.00
31.00,272.00,0.83,0.00,156.00
32.00,476.00,0.82,0.00,272.00
33.00,341.00,0.84,0.00,476.00
34.00,440.00,0.83,0.00,341.00
35.00,418.00,0.83,0.00,440.00
36.00,470.00,0.83,0.00,418.00
37.00,667.00,0.81,0.00,470.00
38.00,6831.00,0.59,1.00,667.00
39.00,2838.00,0.60,0.00,6831.00
40.00,1248.00,0.70,0.00,2838.00
41.00,991.00,0.71,0.00,1248.00
42.00,696.00,0.71,0.00,991.00
43.00,640.00,0.71,0.00,696.00
44.00,590.00,0.70,0.00,640.00
45.00,655.00,0.70,0.00,590.00
46.00,830.00,0.71,0.00,655.00
47.00,831.00,0.70,0.00,830.00
48.00,741.00,0.71,0.00,831.00
49.00,816.00,0.71,0.00,741.00
50.00,855.00,0.71,0.00,816.00
51.00,2038.00,0.62,1.00,855.00
52.00,2910.00,0.59,1.00,2038.00
