LATE,BILL,Type
16,79,residential
47,264,residential
22,97,residential
47,289,residential
47,288,residential
21,100,residential
44,250,residential
27,140,residential
19,97,residential
48,299,residential
16,80,residential
50,311,residential
11,46,residential
17,110,residential
25,146,residential
37,201,residential
22,95,residential
38,205,residential
24,150,residential
31,158,residential
51,310,residential
40,197,residential
34,180,residential
30,149,residential
39,211,residential
5,90,residential
11,60,residential
33,187,residential
42,220,residential
15,70,residential
48,273,residential
10,50,residential
29,162,residential
25,153,residential
43,225,residential
42,210,residential
30,154,residential
41,215,residential
49,301,residential
43,240,residential
36,205,residential
6,95,residential
52,302,residential
19,98,residential
26,150,residential
36,179,residential
13,75,residential
35,199,residential
74,150,commercial
47,289,commercial
39,310,commercial
47,299,commercial
53,240,commercial
71,179,commercial
82,90,commercial
83,95,commercial
90,50,commercial
92,80,commercial
71,158,commercial
80,110,commercial
83,95,commercial
57,220,commercial
84,100,commercial
63,211,commercial
73,149,commercial
60,205,commercial
50,302,commercial
91,70,commercial
49,250,commercial
67,201,commercial
83,97,commercial
83,98,commercial
81,97,commercial
74,153,commercial
69,150,commercial
65,146,commercial
70,154,commercial
60,197,commercial
53,273,commercial
63,205,commercial
67,199,commercial
99,60,commercial
60,210,commercial
85,75,commercial
79,140,commercial
68,187,commercial
70,162,commercial
47,311,commercial
51,264,commercial
69,180,commercial
44,301,commercial
47,288,commercial
55,225,commercial
86,79,commercial
94,46,commercial
59,215,commercial
