"HOF","FY","LY","SP","POS","ASG","G","AB","R","H","DB","TP","HR","RBI","SB","CS","BB","SO","AVG","SLG","OBP"
"Y",1961,1983,23,"OF",0.78,3308,11988,1816,3419,646,59,452,1844,168,116,1845,1393,285,462,379
"Y",1941,1963,22,"OF",0.91,3026,10972,1949,3630,725,177,475,1951,78,31,1599,696,331,559,417
"Y",1959,1976,18,"OF",0.33,2488,9350,1410,2711,434,88,426,1475,90,49,1045,1046,290,492,361
"Y",1981,1997,16,"2B",0.62,2164,8385,1318,2386,403,76,282,1061,344,107,761,1260,285,452,344
"Y",1973,1993,21,"3B",0.62,2707,10349,1583,3154,665,137,317,1595,201,97,1096,908,305,487,369
"Y",1954,1976,23,"OF",0.91,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,305,555,374
"Y",1962,1982,21,"OF",0.33,2360,7927,1195,2232,423,55,475,1540,17,16,937,1936,282,529,360
"Y",1969,1993,24,"C",0.46,2499,8756,1276,2356,421,47,376,1330,128,58,849,1386,269,457,341
"Y",1974,1993,20,"SS",0.15,2856,11008,1632,3142,583,126,251,1406,271,105,966,1350,285,430,342
"Y",1972,1989,18,"3B",0.67,2404,8352,1506,2234,408,59,548,1595,174,92,1507,1883,267,527,380
"Y",1954,1975,22,"1B",0.5,2435,8147,1283,2086,290,24,573,1584,19,18,1559,1699,256,509,376
"Y",1946,1965,19,"C",0.79,2120,7555,1175,2150,321,49,358,1430,30,26,704,414,285,482,348
"Y",1961,1979,19,"OF",0.32,2616,10332,1610,3023,486,141,149,900,938,307,761,1730,293,410,343
"Y",1945,1963,19,"2B",0.53,2216,8479,1223,2449,427,78,84,773,89,27,606,346,289,387,337
"Y",1953,1971,19,"1B",0.58,2528,9421,1305,2583,407,90,512,1636,50,53,763,1236,274,500,330
"Y",1951,1968,18,"OF",0.89,2401,8102,1677,2415,344,72,536,1509,153,38,1733,1710,298,557,421
"N",1951,1962,12,"OF",0.08,829,2261,320,624,96,26,105,374,12,10,212,392,276,481,340
"N",1994,2003,10,"OF",0,1000,3347,500,882,146,28,25,241,260,61,243,581,264,346,313
"N",1994,2006,13,"SS",0,1396,4977,623,1209,274,27,137,536,97,48,392,1165,243,391,302
"N",1967,1978,11,"C",0.09,922,2729,247,654,92,4,80,320,6,8,260,361,240,364,310
"N",1968,1979,12,"C",0,711,1888,205,415,66,7,62,230,1,5,229,319,220,361,306
"N",1979,1995,17,"OF",0,1635,5798,985,1553,260,54,255,870,284,78,718,1285,268,463,352
"N",1998,2007,10,"OF",0.1,1108,4003,573,1055,221,16,189,668,124,55,350,1085,264,468,329
"N",1987,1999,13,"C",0,1008,2982,248,733,111,20,21,278,10,19,243,505,246,318,311
"N",1998,2008,11,"C",0.36,1082,3892,483,1112,222,8,80,481,20,19,266,295,286,409,337
"N",1970,1988,19,"OF",0.11,2353,7917,1036,2251,391,94,165,1077,317,136,898,1031,284,420,354
"N",1980,1991,11,"3B",0.09,1212,3802,453,972,193,26,71,442,34,26,408,602,256,376,326
"N",1963,1980,18,"OF",0.22,2028,7298,873,1993,284,40,325,1163,20,38,620,1313,273,457,332
"N",1963,1975,13,"OF",0,1051,2262,330,582,78,19,84,322,30,8,242,275,257,420,330
"N",1946,1963,18,"C",0.39,1752,5351,623,1415,244,14,155,808,20,10,671,453,264,402,357
"N",1964,1974,11,"OF",0,997,3307,391,864,109,24,116,445,40,41,263,672,261,414,326
"N",1987,1998,11,"2B",0.09,1119,3734,624,1035,171,41,30,294,117,60,380,335,277,369,348
"N",1995,2008,14,"OF",0,1218,1830,220,464,101,9,42,250,16,9,259,425,254,387,347
"N",1983,1995,12,"2B",0,1190,3202,339,821,104,24,14,254,35,33,448,376,256,317,346
"N",1995,2004,10,"OF",0,488,1463,180,352,44,13,66,212,10,13,81,330,241,424,279
"N",1971,1981,11,"2B",0,1237,4521,500,1239,177,41,41,432,75,54,207,348,274,359,306
"N",1965,1978,13,"2B",0,1499,5566,610,1491,211,46,45,438,80,47,298,561,268,347,307
"N",1990,2001,12,"2B",0,752,1988,239,518,116,8,19,187,4,11,228,274,261,356,340
"N",1961,1977,17,"1B",0.24,2042,6681,889,1776,270,11,339,1187,20,21,1001,1226,266,462,361
"N",1971,1982,12,"3B",0,1138,3950,488,1016,145,40,27,322,156,112,372,505,257,335,321
"N",1960,1972,13,"2B",0.15,1622,5722,722,1469,216,55,78,506,135,63,314,812,257,355,296
"N",1983,1992,10,"SS",0,873,2026,244,490,73,12,19,143,49,30,206,331,242,318,312
"N",1956,1967,11,"OF",0.09,1221,3895,540,1020,175,37,112,485,45,30,351,574,262,412,323
"N",1990,2005,15,"3B",0,1230,1793,187,466,79,6,35,222,5,7,283,332,260,369,360
"N",1982,1994,13,"OF",0,1159,3513,591,886,183,51,90,352,322,83,481,688,252,410,342
"N",1976,1986,11,"3B",0.09,1106,3125,373,727,126,9,121,396,24,22,482,496,233,395,337
"N",1990,2003,14,"C",0.14,1225,3769,495,883,167,7,202,599,14,11,453,988,234,443,320
