  Harvard  14.00  91  14  11  39.525  97
  Princeton  13.75  91  14  8  30.220  95
  Yale  13.75  95  19  11  43.514  96
  Stanford  13.60  90  20  12  36.450  93
  MIT  13.80  94  30  10  34.870  91
  Duke  13.15  90  30  12  31.585  95
  CalTech  14.15  100  25  6  63.575  81
  Dartmouth  13.40  89  23  10  32.162  95
  Brown  13.10  89  22  13  22.704  94
  JohnsHopkins  13.05  75  44  7  58.691  87
  UChicago  12.90  75  50  13  38.380  87
  UPenn  12.85  80  36  11  27.553  90
  Cornell  12.80  83  33  13  21.864  90
  Northwestern  12.60  85  39  11  28.052  89
  Columbia  13.10  76  24  12  31.510  88
  NotreDame  12.55  81  42  13  15.122  94
  UVir  12.25  77  44  14  13.349  92
  Georgetown  12.55  74  24  12  20.126  92
  CarnegieMellon  12.60  62  59  9  25.026  72
  UMichigan  11.80  65  68  16  15.470  85
  UCBerkeley  12.40  95  40  17  15.140  78
  UWisconsin  10.85  40  69  15  11.857  71
  PennState  10.81  38  54  18  10.185  80
  Purdue  10.05  28  90  19  9.066  69
  TexasA&M  10.75  49  67  25  8.704  67
