"HOF","FY","LY","SP","POS","ASG","G","AB","R","H","DB","TP","HR","RBI","SB","CS","BB","SO","AVG","SLG","OBP"
"Y",1982,2001,20,"OF",0.75,2440,9288,1383,3141,543,85,135,1138,319,125,790,434,338,459,388
"Y",1956,1973,18,"SS",0.56,2601,10230,1335,2677,394,92,83,791,506,136,736,742,262,343,311
"Y",1984,1995,12,"OF",0.83,1783,7244,1071,2304,414,57,207,1085,134,76,450,965,318,477,360
"Y",1977,1997,21,"1B",0.38,3026,11336,1627,3255,560,35,504,1917,110,43,1333,1516,287,476,359
"Y",1967,1985,19,"1B",0.95,2469,9315,1424,3053,445,112,92,1015,353,187,1018,1028,328,429,393
"Y",1958,1974,17,"1B",0.41,2124,7927,1131,2351,417,27,379,1365,142,80,588,1169,297,499,350
"Y",1952,1968,17,"3B",0.53,2391,8537,1509,2315,354,72,512,1453,68,39,1444,1487,271,509,376
"Y",1955,1972,18,"OF",0.67,2433,9454,1416,3000,440,166,240,1305,83,46,621,1230,317,475,359
"Y",1978,1996,19,"SS",0.79,2573,9396,1257,2460,402,69,28,793,580,148,1072,589,262,328,337
"Y",1953,1974,22,"OF",0.68,2834,10116,1622,3007,498,75,399,1583,137,65,1277,1020,297,480,376
"Y",1974,1989,16,"OF",0.5,2089,8225,1249,2452,373,79,382,1451,58,34,670,1423,298,502,352
"Y",1951,1973,22,"OF",0.91,2992,10881,2062,3283,523,140,660,1903,338,103,1464,1526,302,557,384
"Y",1956,1972,17,"2B",0.41,2163,7755,769,2016,294,62,138,853,27,23,447,706,260,367,299
"Y",1973,1995,22,"OF",0.55,2973,11003,1669,3110,540,88,465,1833,223,96,1216,1686,283,475,353
"Y",1976,1996,21,"OF",0.38,2627,9927,1373,2774,503,98,438,1591,314,109,589,1509,279,482,323
"Y",1967,1987,21,"OF",0.67,2820,9864,1551,2584,463,49,563,1702,228,115,1375,2597,262,490,356
"Y",1955,1977,23,"3B",0.65,2896,10654,1232,2848,482,68,268,1357,28,22,860,990,267,401,322
"Y",1988,2007,20,"2B",0.35,2850,10876,1844,3060,668,55,291,1175,414,124,1160,1753,281,433,363
"Y",1974,1992,19,"C",0.58,2295,7971,1025,2092,371,31,324,1225,39,42,848,997,262,439,335
"Y",1988,2004,17,"2B",0.71,2379,9073,1508,2724,504,80,210,1134,474,114,1032,1140,300,443,371
"Y",1981,2001,21,"SS",0.9,3001,11551,1647,3184,603,44,431,1695,36,39,1129,1305,276,447,340
"Y",1956,1976,21,"OF",0.57,2808,10006,1829,2943,528,72,586,1812,204,77,1420,1532,294,537,389
"Y",1967,1983,17,"C",0.82,2158,7658,1091,2048,381,24,389,1376,68,43,891,1278,267,476,342
"Y",1947,1965,19,"2B",0.63,2367,9232,1279,2663,355,112,35,790,76,80,719,216,288,363,348
"Y",1986,2004,19,"SS",0.63,2180,7937,1329,2340,441,76,198,960,379,77,939,817,295,444,371
"Y",1979,2003,25,"OF",0.4,3081,10961,2295,3055,510,66,297,1115,1406,335,2190,1694,279,419,401
