y M So Ed Po1 Po2 LF M.F Pop NW U1 U2 GDP Ineq Prob Time
-0.85  0.27  1.38 -1.49 -1.35 -1.30 -0.70 -0.48 -0.49  1.15 -0.08 -0.12 -2.15  1.40  1.60 -0.32
 2.75 -0.20 -0.71  1.37  2.15  2.17  0.39  0.37  3.16 -0.21  0.36  0.59  1.53 -0.68 -1.38  0.47
-0.58 -1.40 -0.71  0.39  1.11  1.24 -0.35 -0.65 -0.31 -0.56 -0.64 -0.59  1.70 -1.70 -0.57 -0.79
 0.15 -0.92  1.38  0.48 -0.10 -0.04 -1.04 -0.03 -0.86  0.37  0.08  0.48  0.98 -0.65 -0.22 -0.83
 1.68 -0.60  1.38  0.30  1.01  1.03 -0.47 -0.48  0.35  0.76 -0.91  0.12 -0.55  0.30 -0.31 -0.28
-0.13  1.47  1.38 -1.40 -0.67 -0.65 -0.20 -0.95  0.06  1.80 -0.80 -0.71 -1.08  1.13  1.08  0.40
-0.15 -0.36 -0.71  0.21 -0.34 -0.33  0.84 -0.37  0.27 -0.41 -0.69 -0.35  0.57 -0.55 -0.70  1.09
-1.02 -0.84 -0.71  0.66 -0.61 -0.72  1.55 -0.37 -0.23 -0.89 -1.02 -1.06 -0.19  0.30 -0.08  1.37
-0.62 -0.28 -0.71  1.02 -0.77 -0.69  0.84  0.10 -0.38 -0.54 -1.02 -0.83  0.04 -0.10  0.27 -0.72
 0.11  0.27  1.38 -1.58 -0.13 -0.12 -1.59 -0.92 -0.10  2.14  1.14  1.54 -1.02  1.33  0.22 -0.07
-0.95  0.35 -0.71  0.39 -0.64 -0.62 -0.60 -0.20 -0.70 -0.93  1.03  0.12 -0.40 -0.70  1.28 -1.06
 0.06 -0.28  1.38 -0.15  1.28  1.24 -0.60 -0.17 -0.15  0.67 -0.36  0.00  1.09 -0.73  3.20 -1.19
-1.21  1.47  1.38 -1.49 -1.28 -1.30 -1.22 -0.71 -0.38  3.13  0.08  0.00 -2.46  2.06  1.87  1.48
 0.80 -0.52 -0.71 -0.86  0.07  0.10  0.07 -1.02  0.17 -0.09 -0.69 -0.23 -0.13  0.83 -0.72 -0.20
-0.99 -0.68 -0.71  0.93 -0.74 -0.83  1.97  0.03 -0.59 -0.73 -1.41 -1.54 -0.41  0.05  0.97 -0.66
 2.81 -0.60 -0.71  1.37  2.52  2.24  1.73  2.99 -0.88 -0.23  0.36  0.83  1.54 -1.05 -0.24 -0.63
