"flies","week","trt","cty"
50,2,"control","anderson"
120,3,"control","anderson"
150,4,"control","anderson"
60,5,"control","anderson"
50,6,"control","anderson"
40,7,"control","anderson"
60,8,"control","anderson"
100,9,"control","anderson"
50,10,"control","anderson"
60,11,"control","anderson"
80,12,"control","anderson"
85,13,"control","anderson"
90,14,"control","anderson"
90,15,"control","anderson"
200,16,"control","anderson"
200,17,"control","anderson"
185,18,"control","anderson"
190,19,"control","anderson"
90,20,"control","anderson"
60,21,"control","anderson"
90,22,"control","anderson"
40,23,"control","anderson"
0,24,"control","anderson"
80,2,"control","anderson"
90,3,"control","anderson"
90,4,"control","anderson"
60,5,"control","anderson"
60,6,"control","anderson"
80,7,"control","anderson"
0,8,"control","anderson"
60,9,"control","anderson"
85,10,"control","anderson"
150,11,"control","anderson"
80,12,"control","anderson"
65,13,"control","anderson"
90,14,"control","anderson"
90,15,"control","anderson"
200,16,"control","anderson"
160,17,"control","anderson"
185,18,"control","anderson"
200,19,"control","anderson"
90,20,"control","anderson"
80,21,"control","anderson"
70,22,"control","anderson"
60,23,"control","anderson"
90,24,"control","anderson"
60,2,"control","anderson"
60,3,"control","anderson"
90,4,"control","anderson"
10,5,"control","anderson"
70,6,"control","anderson"
90,7,"control","anderson"
45,8,"control","anderson"
120,9,"control","anderson"
110,10,"control","anderson"
190,11,"control","anderson"
90,12,"control","anderson"
85,13,"control","anderson"
180,14,"control","anderson"
50,15,"control","anderson"
80,16,"control","anderson"
200,17,"control","anderson"
200,18,"control","anderson"
200,19,"control","anderson"
120,20,"control","anderson"
20,21,"control","anderson"
0,22,"control","anderson"
150,23,"control","anderson"
0,24,"control","anderson"
80,2,"control","anderson"
50,3,"control","anderson"
90,4,"control","anderson"
0,5,"control","anderson"
60,6,"control","anderson"
180,7,"control","anderson"
60,8,"control","anderson"
40,9,"control","anderson"
0,10,"control","anderson"
200,11,"control","anderson"
80,12,"control","anderson"
65,13,"control","anderson"
50,14,"control","anderson"
45,15,"control","anderson"
200,16,"control","anderson"
200,17,"control","anderson"
220,18,"control","anderson"
110,19,"control","anderson"
140,20,"control","anderson"
160,21,"control","anderson"
55,22,"control","anderson"
110,23,"control","anderson"
50,24,"control","anderson"
110,2,"control","anderson"
0,3,"control","anderson"
70,4,"control","anderson"
90,5,"control","anderson"
50,6,"control","anderson"
200,7,"control","anderson"
120,8,"control","anderson"
40,9,"control","anderson"
60,10,"control","anderson"
200,11,"control","anderson"
200,12,"control","anderson"
80,13,"control","anderson"
75,14,"control","anderson"
100,15,"control","anderson"
140,16,"control","anderson"
200,17,"control","anderson"
180,18,"control","anderson"
80,19,"control","anderson"
200,20,"control","anderson"
90,21,"control","anderson"
40,22,"control","anderson"
200,23,"control","anderson"
60,24,"control","anderson"
80,2,"control","anderson"
0,3,"control","anderson"
90,4,"control","anderson"
80,5,"control","anderson"
